idTerytGmina,idTerytWojewodztwo,Wojewodztwo,Powiat,Gmina,GminaTyp,idTypPodmiotu,Typ Podmiotu,idKategoriaUczniow,Kategoria uczniów,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30 i więcej
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,1,Przedszkole,1,Dzieci lub młodzież,48,342,441,435,445,15,1,,,,,,,,,,,,,,,,,,,,,,
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,3,Szkoła podstawowa,1,Dzieci lub młodzież,,,,,1,387,407,425,430,439,504,473,278,29,6,1,,,,,,,,,,,,,
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,14,Liceum ogólnokształcące,1,Dzieci lub młodzież,,,,,,,,,,,,,154,327,269,270,226,3,2,,,,,,,,,,
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,14,Liceum ogólnokształcące,2,Dorośli,,,,,,,,,,,,,,,,8,44,28,25,12,8,6,5,1,1,2,1,1,22
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,16,Technikum,1,Dzieci lub młodzież,,,,,,,,,,,,,239,467,393,357,295,318,11,,,,,,,,,,
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,19,Szkoła policealna,3,Bez kategorii,,,,,,,,,,,,,,,,,3,20,27,28,22,21,25,20,10,2,3,3,96
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,20,Szkoła specjalna przysposabiająca do pracy,1,Dzieci lub młodzież,,,,,,,,,,,,,,,4,6,5,4,4,6,4,2,,,,,,,
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,85,Szkoła muzyczna I stopnia,3,Bez kategorii,,,,,2,15,12,22,21,16,15,11,8,5,4,3,1,1,1,,,,,,,,,,
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,93,Branżowa szkoła I stopnia,1,Dzieci lub młodzież,,,,,,,,,,,,,79,162,194,153,41,17,1,,,,,,,,,,
201011,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,M,94,Branżowa szkoła II stopnia,3,Bez kategorii,,,,,,,,,,,,,,,,6,17,7,1,3,1,,1,,,,,,
201022,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,Gm,1,Przedszkole,1,Dzieci lub młodzież,10,89,114,119,148,3,,,,,,,,,,,,,,,,,,,,,,,
201022,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,Gm,3,Oddział przedszkolny w szkole podstawowej,1,Dzieci lub młodzież,2,7,18,6,8,,,,,,,,,,,,,,,,,,,,,,,,
201022,2,DOLNOŚLĄSKIE,bolesławiecki,Bolesławiec,Gm,3,Szkoła podstawowa,1,Dzieci lub młodzież,,,,,1,126,141,101,122,138,133,130,71,8,1,,,,,,,,,,,,,,
201032,2,DOLNOŚLĄSKIE,bolesławiecki,Gromadka,Gm,1,Przedszkole,1,Dzieci lub młodzież,,21,20,22,22,,,,,,,,,,,,,,,,,,,,,,,,
201032,2,DOLNOŚLĄSKIE,bolesławiecki,Gromadka,Gm,3,Oddział przedszkolny w szkole podstawowej,1,Dzieci lub młodzież,,9,18,18,23,3,,,,,,,,,,,,,,,,,,,,,,,
201032,2,DOLNOŚLĄSKIE,bolesławiecki,Gromadka,Gm,3,Szkoła podstawowa,1,Dzieci lub młodzież,,,,,1,48,44,46,52,41,39,58,40,10,,,,,,,,,,,,,,,
201043,2,DOLNOŚLĄSKIE,bolesławiecki,Nowogrodziec,M-Gm,1,Przedszkole,1,Dzieci lub młodzież,6,95,114,115,92,7,,,,,,,,,,,,,,,,,,,,,,,
