Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;Gmina;Powiat;Województwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeśli nie występuje w komórkach C1-G1);Miejscość (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Założyciela;Nazwa Organizatora I/ Założyciela;Nazwa Organizatora II/ Założyciela;Nazwa Organizatora III/ Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum;Data wykreślenia z rejestru;zakończenie procesu organizacji
1;Centralne Muzeum Pożarnictwa w Mysłowicach;41-400;Mysłowice;Mysłowice;m. Mysłowice;ŚLĄSKIE;ul.;Stadionowa;7a;;;;;;;;Komenda Główna Państwowej Straży Pożarnej ;;;;;Samorządowe;;
2;Centralne Muzeum Włókiennictwa w Łodzi;93-034;Łódź;Łódź (Łódź-Górna);m. Łódź;ŁÓDZKIE;ul.;Piotrkowska;282;;;;;;;;Miasto Łódź ;;;;2013-06-28;Samorządowe;;
3;Muzeum Pogranicza w Działdowie;13-200;Działdowo;Działdowo;działdowski;WARMIŃSKO-MAZURSKIE;ul.;Mickiewicza;43;;;;;;;;Gmina – Miasto Działdowo ;;;;;Samorządowe;;
4;Lubuskie Muzeum Wojskowe w Zielonej Górze z siedzibą w Drzonowie ;66-008;Świdnica;Świdnica;zielonogórski;LUBUSKIE;ul.;Drzonów;54;;;;;;;;Miasto Zielona Góra;;;;1998-07-06;Samorządowe;;
5;Miejskie Muzeum Zabawek ze zbiorów Henryka Tomaszewskiego;58-540;Karpacz;Karpacz;jeleniogórski;DOLNOŚLĄSKIE;ul.;Kolejowa;3;;;;;;;;Gmina Karpacz ;;;;;Samorządowe;;
6;Międzyrzecki Rejon Umocniony - Muzeum Fortyfikacji i Nietoperzy w Pniewie ;66-300;Międzyrzecz;Międzyrzecz;międzyrzecki;LUBUSKIE;ul.;Pniewo;1;;;;;;;;Gmina Międzyrzecz;;;;;Samorządowe;;
7;Muzeum Czartoryskich w Puławach;24-100;Puławy;Góra Puławska;puławski;LUBELSKIE;ul. ;Czartoryskich ;8;;;;;;;;Miasto Puławy ;;;;;Samorządowe;;
8;Muzeum „Górnośląski Park Etnograficzny w Chorzowie”;41-500;Chorzów;Chorzów;m. Chorzów;ŚLĄSKIE;ul.;Parkowa;25;;;;;;;;Województwo Śląskie;;;;2017-12-28;Samorządowe;;
9;Muzeum Archeologiczne w Biskupinie;88-410;Gąsawa;Gąsawa;żniński;KUJAWSKO-POMORSKIE;ul.;Biskupin;17;;;;;;;;Województwo Kujawsko – Pomorskie ;;;;;Samorządowe;;
10;Muzeum Archeologiczne w Gdańsku;80-833;Gdańsk;Gdańsk;m. Gdańsk;POMORSKIE;ul.;Mariacka;25;26;;;;;;;Województwo Pomorskie ;;;;;Samorządowe;;
11;Muzeum Archeologiczne w Krakowie;31-002;Kraków;Kraków (Kraków-Śródmieście);m. Kraków;MAŁOPOLSKIE;ul.;Senacka;3;;;;;;;;Województwo Małopolskie;;;;2006-07-07;Samorządowe;;
12;Muzeum Archeologiczne w Poznaniu;61-781;Poznań;Poznań (Poznań-Stare Miasto);m. Poznań;WIELKOPOLSKIE;ul.;Wodna;27;;;;;;;;Miasto Poznań ;;;;1998-12-28;Samorządowe;;
13;Muzeum Archeologiczne i Etnograficzne w Łodzi;91-415;Łódź;Łódź;m. Łódź;ŁÓDZKIE;pl.;Wolności;14;;;;;;;;Województwo Łódzkie ;;;;1998-12-28;Samorządowe;;
14;Muzeum Archeologiczne Środkowego Nadodrza w Zielonej Górze z siedzibą w Świdnicy;66-008;Świdnica;Świdnica;zielonogórski;LUBUSKIE;ul.;Długa;27;;;;;;;;Miasto Zielona Góra;;;;1998-07-06;Samorządowe;;
15;Muzeum Archeologiczno-Historyczne w Elblągu;82-300;Elbląg;Nowakowo;elbląski;WARMIŃSKO-MAZURSKIE;ul.;Bulwar Zygmunta Augusta;11;;;;;;;;Gmina Miasto Elbląg;;;;;Samorządowe;;
16;Muzeum Archeologiczno-Historyczne w Głogowie;67-200;Głogów;Głogów;głogowski;DOLNOŚLĄSKIE;ul.;Brama Brzostowska;1;;;;;;;;Gmina Miejska Głogów;;;;2008-12-30;Samorządowe;;
17;Muzeum Archeologiczno – Historyczne w Stargardzie ;73-110;Stargard;Stargard;stargardzki;ZACHODNIOPOMORSKIE;ul.;Rynek Staromiejski;2-;4;;;;;;;Gmina Miasto Stargard ;;;;;Samorządowe;;
18;Muzeum Architektury we Wrocławiu;50-156;Wrocław;Wrocław (Wrocław-Stare Miasto);m. Wrocław;DOLNOŚLĄSKIE;ul.;Bernardyńska;5;;;;;;;;Gmina Wrocław;;;;2013-06-28;Samorządowe;;
19;Muzeum Armii Krajowej im. gen. Emila Fieldorfa ,,Nila” w Krakowie;31-511;Kraków;Kraków (Kraków-Śródmieście);m. Kraków;MAŁOPOLSKIE;ul.;Wita Stwosza;12;;;;;;;;Gmina Miejska Kraków i Województwo Małopolskie;;;;;Samorządowe;;
20;Muzeum Augusta Zamoyskiego w Jabłoniu ;21-205;Jabłoń;Jabłoń;parczewski;LUBELSKIE;ul.;Augusta Zamoyskiego;9A;;;;;;;;Gmina Jabłoń;;;;;Samorządowe;;
21;Muzeum Azji i Pacyfiku w Warszawie;00-403;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;ul.;Solec;24;;;;;;;;Województwo Mazowieckie;;;;1998-12-28;Samorządowe;;
22;Muzeum Badań Polarnych w Puławach (w organizacji);24-100;Puławy;Puławy;puławski;LUBELSKIE;;Czartoryskich ;6a;;;;;;;;Minister Kultury, Dziedzictwa Narodowego i Sportu;Województwo Lubelskie;;;;Współprowadzone wpisane do rejestru prowadzonego przez jednostkę samorządu terytorialnego;;
23;Muzeum Bitwy pod Grunwaldem w Stębarku;14-107;Gietrzwałd;Gierzwałd;ostródzki;WARMIŃSKO-MAZURSKIE;ul.;Stębark;1;;;;;;;;Województwo Warmińsko- Mazurskie ;;;;;Samorządowe;;
