idTerytWojewodztwo,Wojewodztwo,idTypPodmiotu,TypPodmiotu,idRodzajWypadku,RodzajWypadku,idPrzyczynaWypadku,PrzyczynaWypadku,idMiejsceWypadku,MiejsceWypadku,idRodzajZajec,RodzajZajec,Liczba Wypadkow
2,DOLNOŚLĄSKIE,1,Przedszkole,1,ciężki,15,nieuwaga ucznia,5,plac zabaw,100,inne zajęcia,1
"2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,1,zły stan techniczny obiektów,1,""sala lekcyjna, pracownia szkolna"",100,inne zajęcia,1"
"2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,1,""sala lekcyjna, pracownia szkolna"",5,inne zajęcia edukacyjne,4"
"2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,1,""sala lekcyjna, pracownia szkolna"",100,inne zajęcia,2"
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,5,plac zabaw,100,inne zajęcia,3
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,100,inne,5,inne zajęcia edukacyjne,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,14,działania nieumyślne ucznia,100,inne,100,inne zajęcia,2
"2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,1,""sala lekcyjna, pracownia szkolna"",5,inne zajęcia edukacyjne,4"
"2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,1,""sala lekcyjna, pracownia szkolna"",100,inne zajęcia,3"
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,2,ciągi komunikacyjne,6,przerwy międzylekcyjne,2
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,2,ciągi komunikacyjne,100,inne zajęcia,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,3,sala gimnastyczna,5,inne zajęcia edukacyjne,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,3,sala gimnastyczna,100,inne zajęcia,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,5,plac zabaw,5,inne zajęcia edukacyjne,5
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,5,plac zabaw,100,inne zajęcia,13
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,15,nieuwaga ucznia,100,inne,100,inne zajęcia,2
"2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,18,działania nieumyślne innej osoby,1,""sala lekcyjna, pracownia szkolna"",5,inne zajęcia edukacyjne,4"
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,18,działania nieumyślne innej osoby,2,ciągi komunikacyjne,100,inne zajęcia,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,18,działania nieumyślne innej osoby,4,boisko,100,inne zajęcia,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,18,działania nieumyślne innej osoby,5,plac zabaw,5,inne zajęcia edukacyjne,1
"2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,19,uderzenie nieumyślne,1,""sala lekcyjna, pracownia szkolna"",5,inne zajęcia edukacyjne,1"
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,100,inna przyczyna,5,plac zabaw,5,inne zajęcia edukacyjne,1
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,100,inna przyczyna,5,plac zabaw,100,inne zajęcia,3
"2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,100,inna przyczyna,12,""ulica, droga"",8,wycieczki edukacyjne,1"
2,DOLNOŚLĄSKIE,1,Przedszkole,100,inny,100,inna przyczyna,100,inne,100,inne zajęcia,1
"2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,ciężki,15,nieuwaga ucznia,1,""sala lekcyjna, pracownia szkolna"",5,inne zajęcia edukacyjne,1"
2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,1,ciężki,15,nieuwaga ucznia,8,obiekty sportowe,100,inne zajęcia,1
2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,2,śmiertelny,100,inna przyczyna,3,sala gimnastyczna,1,wychowanie fizyczne,1
2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,100,inny,1,zły stan techniczny obiektów,5,plac zabaw,100,inne zajęcia,1
"2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,100,inny,3,""zły stan techniczny wyposażenia, sprzętów"",3,sala gimnastyczna,1,wychowanie fizyczne,1"
"2,DOLNOŚLĄSKIE,3,Szkoła podstawowa,100,inny,13,działania umyślne ucznia,1,""sala lekcyjna, pracownia szkolna"",6,przerwy międzylekcyjne,1"
